"Current atomic activity title","Linked O*NET descriptions"
"Analyze Blueprint (Synonyms: Examine Blueprint, Study Blueprint)","23"
"Attend Workshop","23"
"Collect Payment","23"
"Cut Material","23"
"Drive Truck","23"
"Evaluate Program","23"
"Make Recommendation","23"
"Plan Project","23"
"Schedule Appointment","23"
"Teach Skill","23"
"Communicate Information","22"
"Explain Information (Synonyms: Interpret Information)","22"
"Lubricate Equipment","22"
"Measure Product (Synonyms: Evaluate Product)","22"
"Negotiate Contract","22"
"Observe Gauge","22"
"Plan Material (Synonyms: Organize Material)","22"
"Remove Part","22"
"Repair System","22"
"Smooth Surface","22"
"Talk Colleague","22"
"Blend Ingredient (Synonyms: Combine Ingredient, Mix Ingredient)","21"
"Calibrate Equipment","21"
"Conduct Activity","21"
"Confer Client (Synonyms: Consult Client)","21"
"Guide Student","21"
"Identify Opportunity","21"
"Inspect Site","21"
"Maintain Report","21"
"Measure Material (Synonyms: Assess Material)","21"
"Perform Action (Synonyms: Execute Action, Take Action)","21"
"Prepare Plan","21"
"Provide Consultation","21"
"Replace Component","21"
"Review Specification","21"
"Supply Equipment (Synonyms: Issue Equipment, Provide Equipment)","21"
"Tend Machine","21"
"Analyze Sample (Synonyms: Examine Sample)","20"
"Assemble Component","20"
"Clean Machine","20"
"Conduct Assessment","20"
"Create Budget (Synonyms: Develop Budget, Generate Budget)","20"
"Create Specification (Synonyms: Develop Specification)","20"
"Disinfect Equipment (Synonyms: Sterilize Equipment)","20"
"Hire Staff (Synonyms: Employ Staff)","20"
"Inform Supervisor (Synonyms: Notify Supervisor)","20"
"Maintain Documentation","20"
"Maintain Tool (Synonyms: Hold Tool)","20"
"Move Control","20"
"Move Material","20"
"Oversee Project (Synonyms: Supervise Project)","20"
"Participate Conference","20"
"Perform Work","20"
"Read Specification","20"
"Receive Supply (Synonyms: Stock Supply)","20"
"Submit Report","20"
"Supervise Personnel","20"
"Supervise Technician","20"
"Teach Course","20"
"Teach Patient (Synonyms: Instruct Patient)","20"
"Use Technique (Synonyms: Apply Technique, Employ Technique)","20"
"Administer Treatment","19"
"Analyze Report (Synonyms: Examine Report, Study Report)","19"
"Collaborate Program","19"
"Conduct Audit","19"
"Conduct Session","19"
"Confer Professional (Synonyms: Consult Professional)","19"
"Create Database (Synonyms: Develop Database)","19"
"Document Procedure","19"
"Enter Datum","19"
"Enter Information","19"
"Establish Objective","19"
"Fabricate Part","19"
"Inspect Area","19"
"Install Fixture","19"
"Inventory Supply (Synonyms: Keep Supply)","19"
"Measure Datum (Synonyms: Assess Datum, Evaluate Datum)","19"
"Monitor System","19"
"Participate Organization","19"
"Prescribe Medication","19"
"Present Information","19"
"Review Order","19"
"Store Equipment","19"
"Supply Direction (Synonyms: Issue Direction, Provide Direction)","19"
"Transport Material (Synonyms: Transfer Material)","19"
"Analyze Result","18"
"Assist Patient (Synonyms: Aid Patient, Help Patient)","18"
"Confer Member","18"
"Cook Food (Synonyms: Prepare Food)","18"
"Coordinate Work","18"
"Diagnose Condition","18"
"Estimate Requirement","18"
"Measure Characteristic (Synonyms: Assess Characteristic, Evaluate Characteristic)","18"
"Measure Condition (Synonyms: Assess Condition, Evaluate Condition)","18"
"Observe Performance","18"
"Prepare Drawing","18"
"Prepare Estimate","18"
"Prepare Presentation","18"
"Purchase Supply (Synonyms: Shop Supply)","18"
"Resolve Complaint","18"
"Store Supply","18"
"Supervise Student","18"
"Test Component","18"
"Test Product","18"
"Weigh Material","18"
"Clean Facility","17"
"Comply Procedure (Synonyms: Adhere Procedure, Follow Procedure)","17"
"Connect Hose (Synonyms: Attach Hose)","17"
"Create Process (Synonyms: Develop Process)","17"
"Design Program","17"
"Direct Work","17"
"Distribute Material","17"
"Examine Product","17"
"Explain Regulation (Synonyms: Interpret Regulation)","17"
"Issue Device (Synonyms: Provide Device)","17"
"Oversee Program (Synonyms: Supervise Program)","17"
"Provide Technology","17"
"Store Material","17"
"Supply Material (Synonyms: Issue Material)","17"
"Adjust Component (Synonyms: Set Component)","16"
"Administer Program","16"
"Advise Group (Synonyms: Counsel Group)","16"
"Assemble Part","16"
"Attend Seminar","16"
"Coach Other (Synonyms: Develop Other, Train Other)","16"
"Complete Form","16"
"Conduct Investigation","16"
"Create Design (Synonyms: Develop Design, Produce Design)","16"
"Create Image (Synonyms: Develop Image, Generate Image, Make Image, Produce Image)","16"
"Create Tool (Synonyms: Develop Tool)","16"
"Diagnose Problem","16"
"Establish Rule","16"
"Evaluate Technology","16"
"Inspect Work","16"
"Inventory Equipment","16"
"Investigate Complaint","16"
"Issue Supply","16"
"Move Lever","16"
"Oversee Employee (Synonyms: Supervise Employee)","16"
"Oversee Operation (Synonyms: Supervise Operation)","16"
"Plan Work (Synonyms: Organize Work)","16"
"Prepare Classroom (Synonyms: Set_Up Classroom)","16"
"Prepare Contract","16"
"Prepare Outline","16"
"Record Result","16"
"Review Datum","16"
"Take Order","16"
"Train Employee","16"
"Use Computer","16"
"Write Material (Synonyms: Compile Material)","16"
"Advise Customer","15"
"Answer Complaint (Synonyms: Respond Complaint)","15"
"Calculate Cost (Synonyms: Compute Cost, Forecast Cost)","15"
"Conduct Inspection","15"
"Develop Relationship","15"
"Evaluate Method","15"
"Examine Material","15"
"Examine Patient","15"
"Implement Strategy","15"
"Inspect Part","15"
"Maintain Information","15"
"Manage Activity","15"
"Mark Material (Synonyms: Label Material, Tag Material)","15"
"Monitor Progress","15"
"Position Equipment","15"
"Prepare Specification","15"
"Provide Guidance","15"
"Recommend Procedure","15"
"Review Document","15"
"Select Tool","15"
"Teach Class","15"
"Write Letter (Synonyms: Compose Letter)","15"
"Adjust Part","14"
"Assist Customer (Synonyms: Help Customer, Serve Customer)","14"
"Clean Tool","14"
"Compile Record","14"
"Confer Official (Synonyms: Consult Official)","14"
"Create Report (Synonyms: Develop Report, Generate Report, Produce Report)","14"
"Demonstrate Equipment","14"
"Determine Equipment (Synonyms: Check Equipment)","14"
"Determine Location (Synonyms: Check Location)","14"
"Determine Requirement","14"
"Educate Patient","14"
"Establish Policy (Synonyms: Set_Up Policy)","14"
"Explain Rule (Synonyms: Interpret Rule)","14"
"Implement Policy","14"
"Inspect Vehicle","14"
"Maintain Relationship","14"
"Measure Dimension","14"
"Measure Ingredient","14"
"Meet Parent","14"
"Monitor Student","14"
"Order Test","14"
"Order Treatment (Synonyms: Prescribe Treatment)","14"
"Perform Function","14"
"Plan Event (Synonyms: Organize Event)","14"
"Prepare Application","14"
"Prepare Assignment","14"
"Prepare Proposal","14"
"Prepare Sketch","14"
"Purchase Equipment (Synonyms: Shop Equipment)","14"
"Recommend Method","14"
"Repair Device","14"
"Requisition Equipment","14"
"Review Information","14"
"Review Material","14"
"Set Control","14"
"Start Pump (Synonyms: Activate Pump)","14"
"Stock Supply","14"
"Supervise Technologist","14"
"Teach Staff (Synonyms: Instruct Staff)","14"
"Trim Material","14"
"Use Aid","14"
"Validate Information (Synonyms: Confirm Information, Ensure Information, Verify Information)","14"
"Weigh Product","14"
"Write Article","14"
"Write Documentation (Synonyms: Compile Documentation)","14"
"Align Part","13"
"Analyze Specification (Synonyms: Examine Specification, Study Specification)","13"
"Appraise Impact (Synonyms: Assess Impact, Evaluate Impact)","13"
"Assign Duty","13"
"Calculate Requirement (Synonyms: Compute Requirement, Forecast Requirement)","13"
"Communicate Objective","13"
"Conduct Interview","13"
"Confer Engineer (Synonyms: Consult Engineer)","13"
"Confer Supervisor (Synonyms: Consult Supervisor)","13"
"Create Presentation (Synonyms: Develop Presentation, Produce Presentation)","13"
"Design Plan","13"
"Evaluate Behavior","13"
"Evaluate Development","13"
"Evaluate Health","13"
"Examine Equipment","13"
"Inform Customer (Synonyms: Notify Customer)","13"
"Inspect Material","13"
"Interview Client","13"
"Interview Patient","13"
"Investigate Accident","13"
"Lubricate Part","13"
"Maintain Machinery","13"
"Maintain Procedure","13"
"Manage Budget","13"
"Monitor Gauge","13"
"Patrol Area","13"
"Plan Research","13"
"Position Workpiece","13"
"Prepare Form","13"
"Prepare Objective","13"
"Prepare Statement","13"
"Prepare System (Synonyms: Set_Up System)","13"
"Provide Recommendation","13"
"Remove Product","13"
"Replace Equipment","13"
"Review Blueprint","13"
"Sell Product","13"
"Signal Worker","13"
"Sort Material","13"
"Tend Equipment","13"
"Troubleshoot Problem","13"
"Use Material","13"
"Administer Aid","12"
"Apply Solution","12"
"Arrange Service","12"
"Assist Food (Synonyms: Serve Food)","12"
"Calculate Dimension (Synonyms: Compute Dimension)","12"
"Complete Report","12"
"Coordinate Service","12"
"Create Documentation (Synonyms: Develop Documentation, Produce Documentation)","12"
"Create Goal (Synonyms: Develop Goal)","12"
"Determine Procedure (Synonyms: Set Procedure)","12"
"Determine Type","12"
"Develop Product (Synonyms: Produce Product)","12"
"Develop Technique","12"
"Disinfect Instrument (Synonyms: Sterilize Instrument)","12"
"Display Work","12"
"Document Result","12"
"Enforce Policy","12"
"Establish Standard","12"
"Evaluate Information","12"
"Evaluate System","12"
"Fit Part","12"
"Gather Datum","12"
"Inspect Component","12"
"Install Hardware","12"
"Install Part","12"
"Inventory Material","12"
"Keep Informed","12"
"Make Change","12"
"Measure Effectiveness (Synonyms: Assess Effectiveness, Evaluate Effectiveness)","12"
"Measure Level (Synonyms: Assess Level)","12"
"Monitor Process","12"
"Negotiate Agreement","12"
"Order Part","12"
"Plan Operation (Synonyms: Organize Operation)","12"
"Prepare Chart","12"
"Prepare Solution","12"
"Prepare Test","12"
"Present Finding","12"
"Recommend Improvement","12"
"Record Number","12"
"Refer Client","12"
"Remove Workpiece","12"
"Report Problem","12"
"Shape Material (Synonyms: Form Material)","12"
"Signal Operator","12"
"Transport Equipment (Synonyms: Transfer Equipment)","12"
"Understand Blueprint (Synonyms: Interpret Blueprint)","12"
"Use Technology (Synonyms: Apply Technology)","12"
"Verify Dimension","12"
"Adjust Machine","11"
"Align Component","11"
"Analyze Order (Synonyms: Examine Order, Study Order)","11"
"Analyze Requirement (Synonyms: Study Requirement)","11"
"Assess Quality (Synonyms: Evaluate Quality)","11"
"Classify Datum (Synonyms: Code Datum, Sort Datum)","11"
"Clean Instrument","11"
"Clean Surface","11"
"Collaborate Professional","11"
"Collect Specimen","11"
"Conduct Evaluation","11"
"Connect Part (Synonyms: Attach Part, Join Part, Reattach Part)","11"
"Correct Error","11"
"Create Schedule (Synonyms: Develop Schedule)","11"
"Design Structure","11"
"Develop Application","11"
"Diagnose Disorder","11"
"Document Activity","11"
"Enforce Procedure","11"
"Erect Scaffolding (Synonyms: Set_Up Scaffolding)","11"
"Establish Goal","11"
"Evaluate Design","11"
"Evaluate Procedure","11"
"Examine Part","11"
"Explain Law (Synonyms: Interpret Law)","11"
"Grade Test","11"
"Implement Measure","11"
"Inform Personnel (Synonyms: Notify Personnel)","11"
"Maintain Instrument","11"
"Measure Part","11"
"Meet Guardian","11"
"Modify System (Synonyms: Rework System)","11"
"Monitor Procedure","11"
"Monitor Work","11"
"Move Equipment","11"
"Operate Control","11"
"Perform Check","11"
"Position Material","11"
"Prepare Information","11"
"Prepare Map","11"
"Prepare Order","11"
"Prepare Sample","11"
"Provide Feedback","11"
"Read Schedule","11"
"Receive Instruction","11"
"Recommend Modification","11"
"Repair Machinery","11"
"Repair Tool","11"
"Requisition Material","11"
"Review Proposal","11"
"Stop Machine","11"
"Test Operation","11"
"Test Performance","11"
"Test Sample","11"
"Train Technician","11"
"Train User","11"
"Transport Patient","11"
"Transport Product (Synonyms: Transfer Product)","11"
"Treat Condition","11"
"Treat Patient (Synonyms: Care_For Patient)","11"
"Verify Datum","11"
"Weigh Ingredient","11"
